state,no fires,no acres
Texas,12571,671800
California,7884,309287
North Carolina,6222,28851
Georgia,3621,25017
Oklahoma,2811,385133
Florida,2784,164774
Alabama,2710,40975
Oregon,2117,456082
Montana,2087,137509
Mississippi,1980,53170
Arkansas,1903,39028
Washington,1492,173659
Arizona,1432,124165
Kentucky,1280,59199
Louisiana,1259,24475
Tennessee,1225,15059
Massachusetts,1192,1756
New Jersey,1165,15532
Idaho,1088,436733
Pennsylvania,951,2588
Utah,945,27245
Wisconsin,923,881
West Virginia,893,20275
Colorado,835,45732
New Mexico,748,859906
Maine,730,425
Ohio,724,3063
Minnesota,713,3715
Alaska,595,3110976
Nebraska,568,76534
Virginia,558,9956
South Dakota,527,42148
Nevada,506,58402
Wyoming,443,25766
Michigan,376,3522
New York,162,1313
Connecticut,150,347
Missouri,136,4968
Maryland,117,3139
North Dakota,111,1509
New Hampshire,103,381
Vermont,86,83
Rhode Island,76,44
Kansas,67,84015
Indiana,49,1643
Illinois,32,298
South Carolina,22,677
Delaware,7,79
Iowa,7,288
Hawaii,5,25053
District of Columbia,0,0
Puerto Rico,0,0
